period,reporterCode,partnerCode,HS6code,qtyUnitCode,qty_M,qty_RM,qty_X,primaryValue_M,primaryValue_RM,primaryValue_X,netWgt_M,netWgt_RM,netWgt_X,balance_primaryValue,balance_qty,balance_netWgt
2017,156,842,30343,8,13970000,0,0,26108492,0,0,13970000,0,0,-26108492,-13970000,-13970000
2017,156,842,30344,8,170000,0,0,319356,0,0,170000,0,0,-319356,-170000,-170000
2017,156,842,30345,8,44056,0,0,103842,0,0,44056,0,0,-103842,-44056,-44056
2017,156,842,30351,8,22703930,0,0,27756886,0,0,22703930,0,0,-27756886,-22703930,-22703930
2017,156,842,30353,8,0,0,323404,0,0,420426,0,0,323404,420426,323404,323404
2017,156,842,30354,8,2,0,77302,56,0,150620,2,0,77302,150564,77300,77300
2017,156,842,30359,8,1990960,0,1024338,1163880,0,868824,1990960,0,1024338,-295056,-966622,-966622
2017,156,842,30363,8,90448918,0,6466,291375740,0,17708,90448918,0,6466,-291358032,-90442452,-90442452
2017,156,842,30366,8,7087604,0,104782,8267260,0,160314,7087604,0,104782,-8106946,-6982822,-6982822
2017,156,842,30367,8,108978022,0,200180,119411980,0,523830,108978022,0,200180,-118888150,-108777842,-108777842
2017,156,842,30369,8,205796,0,0,2366270,0,0,205796,0,0,-2366270,-205796,-205796
2017,156,842,30381,8,8562,0,0,31136,0,0,8562,0,0,-31136,-8562,-8562
2017,156,842,30382,8,25658,0,0,42736,0,0,25658,0,0,-42736,-25658,-25658
2017,156,842,30389,8,54076518,0,36456280,150332740,0,188670498,54076518,0,36456280,38337758,-17620238,-17620238
2017,156,842,30391,8,6916176,0,1090,60623156,0,14400,6916176,0,1090,-60608756,-6915086,-6915086
2017,156,842,30399,8,1449928,0,0,4195450,0,0,1449928,0,0,-4195450,-1449928,-1449928
2017,156,842,304,8,32288334,0,440608498,86794050,0,2105534148,32288334,0,440608498,2018740098,408320164,408320164
2017,156,842,30461,8,0,0,116054406,0,0,430331962,0,0,116054406,430331962,116054406,116054406
2017,156,842,30462,8,0,0,8183538,0,0,54625218,0,0,8183538,54625218,8183538,8183538
2017,156,842,30469,8,20006,0,92448,32010,0,433476,20006,0,92448,401466,72442,72442
2017,156,842,30471,8,107412,0,93932202,347712,0,561934254,107412,0,93932202,561586542,93824790,93824790
2017,156,842,30472,8,47820,0,26930322,143460,0,129422674,47820,0,26930322,129279214,26882502,26882502
2017,156,842,30473,8,0,0,8974,0,0,44868,0,0,8974,44868,8974,8974
2017,156,842,30474,8,0,0,6399882,0,0,14924780,0,0,6399882,14924780,6399882,6399882
2017,156,842,30475,8,10494818,0,58135676,26679926,0,138077852,10494818,0,58135676,111397926,47640858,47640858
2017,156,842,30479,8,0,0,2479106,0,0,8078388,0,0,2479106,8078388,2479106,2479106
2017,156,842,30481,8,43162,0,77954976,145768,0,489361596,43162,0,77954976,489215828,77911814,77911814
2017,156,842,30482,8,0,0,3874,0,0,38040,0,0,3874,38040,3874,3874
2017,156,842,30483,8,136292,0,35959514,503466,0,184858730,136292,0,35959514,184355264,35823222,35823222
2017,156,842,30487,8,0,0,2020980,0,0,26859794,0,0,2020980,26859794,2020980,2020980
2017,156,842,30489,8,682,0,9505500,13300,0,46682644,682,0,9505500,46669344,9504818,9504818
2017,156,842,30493,8,34550,0,11986,65646,0,55540,34550,0,11986,-10106,-22564,-22564
2017,156,842,30494,8,10728620,0,214482,33314162,0,510408,10728620,0,214482,-32803754,-10514138,-10514138
2017,156,842,30495,8,8837594,0,901578,19889670,0,3586468,8837594,0,901578,-16303202,-7936016,-7936016
2017,156,842,30496,8,86360,0,0,276912,0,0,86360,0,0,-276912,-86360,-86360
2017,156,842,30497,8,1292,0,0,1620,0,0,1292,0,0,-1620,-1292,-1292
2017,156,842,30499,8,1749726,0,1819054,5380398,0,15707456,1749726,0,1819054,10327058,69328,69328
2017,156,842,305,8,115136,0,30843708,598824,0,107130644,115136,0,30843708,106531820,30728572,30728572
2017,156,842,30510,8,0,0,22010,0,0,181040,0,0,22010,181040,22010,22010
2017,156,842,30520,8,114676,0,322888,595896,0,4206576,114676,0,322888,3610680,208212,208212
2017,156,842,30532,8,0,0,29651060,0,0,96115764,0,0,29651060,96115764,29651060,29651060
2017,156,842,30539,8,0,0,27398,0,0,177322,0,0,27398,177322,27398,27398
2017,156,842,30541,8,460,0,112944,2928,0,1226410,460,0,112944,1223482,112484,112484
