"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","4","AFG","Afghanistan","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","219","false","-1","N/A","0","false","0","true","0","false","0","21011","21011","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","626","TLS","Timor-Leste","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","80","false","-1","N/A","0","false","0","true","0","false","0","146958","146958","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","458","MYS","Malaysia","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","73407479","false","-1","N/A","0","false","0","true","0","false","0","88698428","88698428","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","155416","false","-1","N/A","0","false","0","true","0","false","0","2213788","2213788","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","562","NER","Niger","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","12","false","-1","N/A","0","false","0","true","0","false","0","7289","7289","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","27358","false","-1","N/A","0","false","0","true","0","false","0","402835","402835","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","462","MDV","Maldives","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11","false","-1","N/A","0","false","0","true","0","false","0","4866","4866","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","222","SLV","El Salvador","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","12574","false","-1","N/A","0","false","0","true","0","false","0","554015","554015","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","96","BRN","Brunei Darussalam","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7","false","-1","N/A","0","false","0","true","0","false","0","6527","6527","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","579","NOR","Norway","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","48254","false","-1","N/A","0","false","0","true","0","false","0","426669","426669","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","270","GMB","Gambia","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","190","false","-1","N/A","0","false","0","true","0","false","0","44700","44700","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","212","DMA","Dominica","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","201","false","-1","N/A","0","false","0","true","0","false","0","31573","31573","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","780","TTO","Trinidad and Tobago","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","49035","false","-1","N/A","0","false","0","true","0","false","0","512492","512492","4","true","false",
"C","A","20190101","2019","52","2019","842","USA","USA","X","Export","682","SAU","Saudi Arabia","0","W00","World","H5","HS","true","854140","Electrical apparatus; photosensitive, including photovoltaic cells, whether or not assembled in modules or made up into panels, light-emitting diodes (LED)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","62080","false","-1","N/A","0","false","0","true","0","false","0","1889436","1889436","4","true","false",
