"period","reporterCode","partnerCode","HS6code","qtyUnitCode","qty_M","qty_RM","qty_X","primaryValue_M","primaryValue_RM","primaryValue_X","netWgt_M","netWgt_RM","netWgt_X","balance_primaryValue","balance_qty","balance_netWgt"
2017,"156","634","280469",8,0,0,45808200,0,0,83700448,0,0,45808200,83700448,45808200,45808200
2017,"156","360","280469",8,0,0,36342000,0,0,66220590,0,0,36342000,66220590,36342000,36342000
2017,"156","490","280469",8,33372,0,34389200,66944,0,59744946,33372,0,34389200,59678002,34355828,34355828
2017,"156","643","280469",8,0,0,26813600,0,0,51040198,0,0,26813600,51040198,26813600,26813600
2017,"156","48","280469",8,0,0,24070600,0,0,45247964,0,0,24070600,45247964,24070600,24070600
2017,"156","579","280469",8,4160,0,25112000,134238,0,45189382,4160,0,25112000,45055144,25107840,25107840
2017,"156","792","280469",8,0,0,26090704,0,0,42810462,0,0,26090704,42810462,26090704,26090704
2017,"156","724","280469",8,2240,0,16032200,70358,0,25534818,2240,0,16032200,25464460,16029960,16029960
2017,"156","704","280469",8,0,0,14218540,0,0,25000902,0,0,14218540,25000902,14218540,14218540
2017,"156","380","280469",8,100,0,12663760,278,0,21083216,100,0,12663760,21082938,12663660,12663660
2017,"156","364","280469",8,0,0,10932000,0,0,19340450,0,0,10932000,19340450,10932000,10932000
2017,"156","36","280469",8,0,0,7232210,0,0,13203146,0,0,7232210,13203146,7232210,7232210
2017,"156","32","280469",8,0,0,6580600,0,0,13029194,0,0,6580600,13029194,6580600,6580600
2017,"156","705","280469",8,0,0,3767040,0,0,6843288,0,0,3767040,6843288,3767040,3767040
2017,"156","566","280469",8,0,0,3923020,0,0,6621906,0,0,3923020,6621906,3923020,3923020
2017,"156","818","280469",8,0,0,3208000,0,0,5754526,0,0,3208000,5754526,3208000,3208000
2017,"156","804","280469",8,0,0,3050000,0,0,4806918,0,0,3050000,4806918,3050000,3050000
2017,"156","76","280469",8,0,0,2594640,0,0,4562760,0,0,2594640,4562760,2594640,2594640
2017,"156","8","280469",8,0,0,2190000,0,0,4435040,0,0,2190000,4435040,2190000,2190000
2017,"156","554","280469",8,0,0,2215000,0,0,4260838,0,0,2215000,4260838,2215000,2215000
2017,"156","191","280469",8,0,0,2512000,0,0,4252520,0,0,2512000,4252520,2512000,2512000
